end_station_name,casual_user,member_user
Public Rack - Mozart Elementary School,94,32
Dauphin Ave & 87th St,93,46
Halsted St & 96th St,92,112
Long Ave & Belden Ave,92,77
Lamon Ave & Armitage Ave,92,28
Rockwell St & 57th St,92,18
Vernon Ave & 107th St,92,12
California Ave & Winona St,91,264
Lawndale Ave & 30th St,91,80
Meade Ave & Diversey Ave,91,57
Indiana Ave & 103rd St,91,17
Michigan Ave & 71st St,91,14
Damen Ave & 51st St,91,14
Kedzie Ave & 45th St,91,7
Elizabeth St & 92nd St,90,86
Laramie Ave & Madison St,90,79
Pulaski Rd & Congress Pkwy,89,41
Kedzie Ave & 52nd St,89,31
Exchange Ave & 79th St,88,153
Ashland Ave & Pershing Rd,88,124
Orange & Addison,88,81
Cicero Ave & Grace St,87,24
Cicero Ave & Quincy St,87,10
Long Ave & Belmont Ave,85,82
Avenue O & 118th St,85,36
Karlov Ave & Madison St,85,35
Oak Park & Wellington,85,24
Greenwood Ave & 79th St,85,22
Greenwood Ave & 91st St,85,9
Homan Ave & 65th St,84,10
Kedzie Ave & Harrison St,83,91
Western Ave & Ardmore Ave,83,63
Artesian Ave & 55th St,83,13
DuSable Lake Shore Dr & Ohio St,82,179
Ashland Ave & 50th St,82,61
Ashland Ave & 63rd St,82,48
Homewood Ave & 115th St,81,85
California Ave & Marquette Rd,81,19
Central Ave & Roscoe St,80,110
Ping Tom Park (East),80,103
Kostner Ave & Armitage Ave,80,85
Public Rack - Lowell Ave & Elston Ave,80,49
Clyde Ave & 87th St,80,30
Lamon Ave & Chicago Ave,80,18
Archer Ave & 43rd St,79,54
Major Taylor Trail & 124th St,79,10
Public Rack - Monticello Ave & Belmont Ave,78,46
Laramie Ave & Kinzie St,77,44
Tripp Ave & 65th St,77,27
Fullerton & Monitor,76,62
Public Rack - Pulaski Rd & Armitage Ave,76,59
Ashland Ave & Garfield Blvd,76,20
W 103rd St & S Avers Ave,76,13
Eggleston Ave & 92nd St,76,3
Bennett Ave & 79th St,75,30
St Louis Ave & Norman Bobbins Ave,75,24
East End Ave & 87th St,74,49
Torrence Ave & 106th St,74,25
Cicero Ave & Flournoy St,74,25
Eggleston Ave & 69th St,74,23
Morgan St & Pershing Rd,73,151
Central Ave & Madison St,73,120
Central Ave & Parker Ave,73,69
Ewing Ave & Burnham Greenway,73,43
Shabbona Park,73,19
Vincennes Ave & 75th St,73,11
Kenneth Ave & 50th St,73,10
State St & 123rd St,73,4
Phillips Ave & 83rd St,72,47
Albany Ave & 16th St,72,44
Ashland Ave & 74th St,72,19
